,id,timestamp,increment,hour,date,week,week_start,month,month_name,month_start,quarter,year,period
95658,95659,2023-07-01 13:30:00,30,13,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95659,95660,2023-07-01 13:45:00,45,13,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95660,95661,2023-07-01 14:00:00,0,14,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95661,95662,2023-07-01 14:15:00,15,14,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95662,95663,2023-07-01 14:30:00,30,14,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95663,95664,2023-07-01 14:45:00,45,14,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95664,95665,2023-07-01 15:00:00,0,15,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95665,95666,2023-07-01 15:15:00,15,15,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95666,95667,2023-07-01 15:30:00,30,15,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95667,95668,2023-07-01 15:45:00,45,15,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95668,95669,2023-07-01 16:00:00,0,16,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95669,95670,2023-07-01 16:15:00,15,16,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95670,95671,2023-07-01 16:30:00,30,16,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95671,95672,2023-07-01 16:45:00,45,16,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
95672,95673,2023-07-01 17:00:00,0,17,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95673,95674,2023-07-01 17:15:00,15,17,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95674,95675,2023-07-01 17:30:00,30,17,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95675,95676,2023-07-01 17:45:00,45,17,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95676,95677,2023-07-01 18:00:00,0,18,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95677,95678,2023-07-01 18:15:00,15,18,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95678,95679,2023-07-01 18:30:00,30,18,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95679,95680,2023-07-01 18:45:00,45,18,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95680,95681,2023-07-01 19:00:00,0,19,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95681,95682,2023-07-01 19:15:00,15,19,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95682,95683,2023-07-01 19:30:00,30,19,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95683,95684,2023-07-01 19:45:00,45,19,2023-07-01,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
