,id,timestamp,increment,hour,date,week,week_in_year,month,month_name,quarter,year,period
99072,99073,2023-08-06 03:00:00,0,3,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99073,99074,2023-08-06 03:15:00,15,3,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99074,99075,2023-08-06 03:30:00,30,3,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99075,99076,2023-08-06 03:45:00,45,3,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99076,99077,2023-08-06 04:00:00,0,4,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99077,99078,2023-08-06 04:15:00,15,4,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99078,99079,2023-08-06 04:30:00,30,4,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99079,99080,2023-08-06 04:45:00,45,4,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99080,99081,2023-08-06 05:00:00,0,5,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99081,99082,2023-08-06 05:15:00,15,5,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99082,99083,2023-08-06 05:30:00,30,5,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99083,99084,2023-08-06 05:45:00,45,5,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99084,99085,2023-08-06 06:00:00,0,6,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99085,99086,2023-08-06 06:15:00,15,6,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99086,99087,2023-08-06 06:30:00,30,6,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99087,99088,2023-08-06 06:45:00,45,6,2023-08-06,31,31,8,August,3,2023,Off-peak: 12AM to 7AM
99088,99089,2023-08-06 07:00:00,0,7,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99089,99090,2023-08-06 07:15:00,15,7,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99090,99091,2023-08-06 07:30:00,30,7,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99091,99092,2023-08-06 07:45:00,45,7,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99092,99093,2023-08-06 08:00:00,0,8,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99093,99094,2023-08-06 08:15:00,15,8,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99094,99095,2023-08-06 08:30:00,30,8,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99095,99096,2023-08-06 08:45:00,45,8,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99096,99097,2023-08-06 09:00:00,0,9,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99097,99098,2023-08-06 09:15:00,15,9,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99098,99099,2023-08-06 09:30:00,30,9,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99099,99100,2023-08-06 09:45:00,45,9,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99100,99101,2023-08-06 10:00:00,0,10,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99101,99102,2023-08-06 10:15:00,15,10,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99102,99103,2023-08-06 10:30:00,30,10,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99103,99104,2023-08-06 10:45:00,45,10,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99104,99105,2023-08-06 11:00:00,0,11,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99105,99106,2023-08-06 11:15:00,15,11,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99106,99107,2023-08-06 11:30:00,30,11,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99107,99108,2023-08-06 11:45:00,45,11,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99108,99109,2023-08-06 12:00:00,0,12,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99109,99110,2023-08-06 12:15:00,15,12,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99110,99111,2023-08-06 12:30:00,30,12,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99111,99112,2023-08-06 12:45:00,45,12,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99112,99113,2023-08-06 13:00:00,0,13,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99113,99114,2023-08-06 13:15:00,15,13,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99114,99115,2023-08-06 13:30:00,30,13,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99115,99116,2023-08-06 13:45:00,45,13,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99116,99117,2023-08-06 14:00:00,0,14,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99117,99118,2023-08-06 14:15:00,15,14,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99118,99119,2023-08-06 14:30:00,30,14,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99119,99120,2023-08-06 14:45:00,45,14,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99120,99121,2023-08-06 15:00:00,0,15,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99121,99122,2023-08-06 15:15:00,15,15,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99122,99123,2023-08-06 15:30:00,30,15,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99123,99124,2023-08-06 15:45:00,45,15,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99124,99125,2023-08-06 16:00:00,0,16,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99125,99126,2023-08-06 16:15:00,15,16,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99126,99127,2023-08-06 16:30:00,30,16,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99127,99128,2023-08-06 16:45:00,45,16,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99128,99129,2023-08-06 17:00:00,0,17,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99129,99130,2023-08-06 17:15:00,15,17,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99130,99131,2023-08-06 17:30:00,30,17,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99131,99132,2023-08-06 17:45:00,45,17,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99132,99133,2023-08-06 18:00:00,0,18,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99133,99134,2023-08-06 18:15:00,15,18,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99134,99135,2023-08-06 18:30:00,30,18,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99135,99136,2023-08-06 18:45:00,45,18,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99136,99137,2023-08-06 19:00:00,0,19,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99137,99138,2023-08-06 19:15:00,15,19,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99138,99139,2023-08-06 19:30:00,30,19,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99139,99140,2023-08-06 19:45:00,45,19,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99140,99141,2023-08-06 20:00:00,0,20,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99141,99142,2023-08-06 20:15:00,15,20,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99142,99143,2023-08-06 20:30:00,30,20,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99143,99144,2023-08-06 20:45:00,45,20,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99144,99145,2023-08-06 21:00:00,0,21,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99145,99146,2023-08-06 21:15:00,15,21,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99146,99147,2023-08-06 21:30:00,30,21,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99147,99148,2023-08-06 21:45:00,45,21,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99148,99149,2023-08-06 22:00:00,0,22,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99149,99150,2023-08-06 22:15:00,15,22,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99150,99151,2023-08-06 22:30:00,30,22,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99151,99152,2023-08-06 22:45:00,45,22,2023-08-06,31,31,8,August,3,2023,"Mid-peak: 7AM to 5PM, 9PM to 11PM"
99152,99153,2023-08-06 23:00:00,0,23,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99153,99154,2023-08-06 23:15:00,15,23,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99154,99155,2023-08-06 23:30:00,30,23,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99155,99156,2023-08-06 23:45:00,45,23,2023-08-06,31,31,8,August,3,2023,On-peak: 5PM to 9PM
99156,99157,2023-08-07 00:00:00,0,0,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99157,99158,2023-08-07 00:15:00,15,0,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99158,99159,2023-08-07 00:30:00,30,0,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99159,99160,2023-08-07 00:45:00,45,0,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99160,99161,2023-08-07 01:00:00,0,1,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99161,99162,2023-08-07 01:15:00,15,1,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
99162,99163,2023-08-07 01:30:00,30,1,2023-08-07,32,32,8,August,3,2023,Off-peak: 12AM to 7AM
